Название;Жанр;Участники;Синглы;Альбомы;Дата основания;Описание;Координаты.x;Координаты.y;Студия.Название;Студия.Адрес;Лучший альбом.Название;Лучший альбом.Длительность
Cssdgnadypytmqu;POST_PUNK;5;44;15;2017-04-22;Ooykwgtkgluuydc Ueqxmnssohukbpigrpwiff Szbciqargcl;137.335967;81;Ildbdfnryrap;Ddzklcrrlvyonfajffdywezrrudrnc;Ftbauqrzprlhjhs;38
Xftyorwcitnzlky;POST_PUNK;4;22;19;1989-04-17;Gplaeitazyalvh Kisdpeizpjkzbxfyfywfcaarulutfaxckpo;-133.192369;14;;;Wepjhmxteeicqhb;82
Rqzkmasshtnlwxj;BRIT_POP;7;31;6;1961-12-10;Cxwukqhdpvvhchpxpgwmpxumqgkcplgsbhvhtmpwmyyf Sends;-115.000689;11;;;;
Mnhymgazpatydjf;POST_PUNK;7;41;6;1976-01-17;Hkmhzaigwudadnlf Bbgfctrkycooobtlthksqcjwkwgbqmlpe;-108.946811;-4;Zjddktlnadni;Gbvsxmmfzgno Cqjtldtkrvlmmqmwj;;
Gspnabtddwejlem;;6;47;20;1995-03-21;Ldkkjyvlfkxlclmdojpftzhnkgjuiwolfrpgwdamiyauxnitqv;83.457807;-53;Nkkmjgukhvtg;Rzmiarijoukqbptkviubkzjfynetyb;;
Lmbpnkaqymobvvs;;4;21;4;1976-08-15;Wvxieywvlfgyyoxggjzpzandrtthswxnpfonasjdzozxjxkcaw;-117.594683;90;Dnvqgbfx Kpm;Yyycvylhdcx Odozyuvgi Htgolhkl; Ctyrbcwhgyidot;39
Nbriggabsc Pvck;PROGRESSIVE_ROCK;8;22;9;1986-12-06;Eobwp Ujuuokvniovfwyevsxkjuojtrdrvlfd Fsjzizivtuif;114.353767;15;Gwicvbdncyzg;Oopxdamjefsldqqzqnizssdoczj Hp;Xwk Zedzgdhgbhl;58
Lkkxqkitqjhnpzc;PROGRESSIVE_ROCK;7;25;2;2018-10-20;Mxpuoaghgfkbncirnjrukpwwmagufamugckl  Ynttljsgufuz;-103.529139;-34;Kegktuhdwspu;O Crtgauspcudvidzhwbbydnxqtjke;;
Ihkbdqeuqzywevw;POST_PUNK;4;31;2;1991-01-28;Vtcjuksaszawzfrztikjblexxtxjaodcpmd Xyfcmlzbrcrcdy;-130.595996;89;Ydbzujyyhpbr;Vmhtqqyoxrpbpqkfcrixsl Nzfexv ;Dqkfxjowqspqmoi;143
Fciycociznaz Cy;;;36;15;1995-03-06;Fnzgbecbipjtbzqgteznitkfgmityldomspkcoadrdfphktiui;-58.633574;83;;;Kwbkwelsdapofxg;89
Hkfxnmigmnfkpce;PROGRESSIVE_ROCK;;20;7;1988-11-02;;-140.405564;-71;;;Pefvckfuwjptpew;72
 Newgzhzdoknkna;BRIT_POP;8;50;10;1995-03-04;Jjmgcicrihztuaxbvdywgdnslbjnyhqt Xkoyjqiyq Yculiub;169.412467;-90;Sfmrvsgnwyac;Krsozjzceplixgizevfdkxwbluvtal;Lfw Ddcdmbdjjbo;55
Amvubqbxvawxjpy;BRIT_POP;1;38;2;1999-11-23;;-82.006564;-82;Lusxnk Igrme;Iuqgtuonnbrvyseassgsczarfndows;Zgnpefexuiimtsy;108
Mbgbjbukrhqehbe;BRIT_POP;7;41;11;2011-06-21;Urjpdokttrphdzufrtdwyyivjzeknbbzfqlbqlmranvmfkckhd;-64.307240;56;Lehueqcvhykx;Azcvolynxenfzjrlkgtpjbeccdyktl;Npwqnbqhl Bwsbj;50
Oxmuymsnenqxppc;BRIT_POP;6;9;18;2010-04-25;;5.381599;79;Egjstndhcqbl;Cjjoivlz Sfpcgawoxztaijmpkhmbz;Sjqsbhuxptdqaje;146
Vfqaskzikuinxvx;PROGRESSIVE_ROCK;1;39;2;2022-07-08;Vkrjczqvhvugdczvwu Xtfbazxvhmdwqtbmddeixfhgkyfwse ;-23.289421;-46;;;Dbffiuuxqjkfcdv;133
Rasljznvsgdzzhy;POST_PUNK;2;2;7;2002-04-03;Alwxzzwzepszssbjgxdklrgvbr Uzvdmpnxbwjcymbxnnaxvok;5.388741;-17;Swycwgdloebx;Alvqhormdmquozwgyzojhvasrtuibe;Wqvfzmblyxmnvdc;141
Erhwoctvwyjdixl;POST_PUNK;6;20;9;1960-12-19;;108.562152;37;Wvcakudvlixo;Secxbewblmgcabuksevrrdkrernjme;Yhbeolwpdyvlpfd;90
Rodzzcvccrgqfer;;3;44;6;1976-07-01;Trdwvunacxdbehxhceemxpssycrdoepkcnhvnkwvwdcfrcwume;-85.173941;15;Yonsnibutqdo; Ifeswwjhozqjbegiygztbxizllizx;Quhvjvktctzpqci;139
Dtobryypihoikkd;POST_PUNK;7;22;20;2009-06-23;Lmiojnazby Oqgugjxhxkvkhawbbqgupmkknwevzsyjxhv Zpr;84.950142;12;Lhgudho Iegl;Bvdabztedzhi Pvqpmdwjcmvqucvv ;Sroxaugminacfjk;78
Mexqodwhumsieba;POST_PUNK;5;41;11;2022-11-28;Eamnackkeaewxungsstescqop Jvmscubiirdvvndkoriqntuf;170.586229;-79;Hcqwkouqefga;Jtmykztxkhbznhsurkupytelg Tijm;Knxkymncapisucy;111
Gogxrqpqhbeejsx;BRIT_POP;2;9;18;1994-10-23;Cbnjmecobndemefiaffgvmpgodnedhudnewmdewirdtbgajvly;-10.573214;0;Nloeupsgudaf;Vtffnlszshxhfzlkniloyyshfxuguo;Pikyidpxtkzxbxs;61
Batfgprssbhujlj;POST_PUNK;5;33;4;1972-06-12;Cvstoirctrvymtihhsrrcfqftpncztxzpcioiapixpjrtoudhq;161.199347;-75;Sjjcgsdhmvpv;Qchatschogcctvwupbeukwtijploco;Ypcddtitbgfmhrr;153
Oilvtuwcxbi Pdy;POST_PUNK;7;16;1;2001-03-05;Mnvwmxwhwdplteovrxishhizzxtehloihwzkxdwpzcqglikefp;15.223206;75;Qzputmfwjvn ;Bldafjzwlawkthopybcihczdnbmolq;Bjbxdsqxtrwcnzw;100
Ialsnpsnviucvkb;POST_PUNK;3;7;14;1986-05-11;Sshpydjubnygisupj Actpnmzlcwbqtjqxengruuierpfmqdfl;-162.462703;89;Qtwzfdkpynwz;Aamzbdrfizhuaqnx Besqmzznko Dl;Mriht Vlfrdwppa;157
Rvzvgusqsweqrfj;;8;42;8;1977-05-08;Trkqdzqzpvefbf Hxaqcbnuqgxzbgrtckhhdff Yjojnukchse;164.287044;42;Nqkamlwke Di;Qzbprqwdcnrvbhwqoigodj Mjiexyh;Dlhnq Sokntrugs;130
Zhceptgnllmaujz;BRIT_POP;;44;17;1997-09-01;Jbzfakbhhixzqtaktrlfmakqpfnucwjjpozcokkcsylnrnrocw;-113.146057;71;Clidlpzzjisb;Qywtzcqmpcpybsu Bdhfhvyifjqtbt;;
Dbduyluulvczgkj;;1;37;12;2019-02-09;Ewhkaycscyctacvozfynhxeyabdsyflptcgmgikesabtysnbjh;165.326505;33;Ahyhbtqxokpo;Sjlhxzjpizmvxogehhthmzyjawaddr;Bxecemweajuzkns;83
Uirgxxkyzbpfmoh;;1;5;16;2022-09-27;Vghteioxsbgtpkzcazblpvurwroypnunpbpqhxxniyoqhlqieg;-75.104549;-23;Vhiftvlwtvvt;Blnzemmefvvkgndywldfilgqyzau J;Saknydyencyeehg;72
Hfrglmxhvusckom;PROGRESSIVE_ROCK;8;45;6;2009-01-18;Engsjssnmzzwyypszoz Aifzzkepedqkeetwmgvqcd Rvzzjlv;15.868344;-26;;;Lljcxcitrv Ywtp;138
Wbtzxzevjpxm Ox;POST_PUNK;8;5;17;1979-06-07;Dtawnnlxdiegeqcleubkzqsxthwvkrxzphgrnboobidmvybfyt;-25.212711;-54;Qzdvvnoqxstr;Ddvtowmkjnpzphqfoypnfbqhsnovxw;Rgozjcfiqaxhcrq;139
Wjantthsjbmdvck;POST_PUNK;7;44;16;1997-03-06;Tbpd Mlxsrbbqcxqwfxermxixfrfpllbcefkrrlhppkbuuuojc;141.830635;85;;;;
Gda Ccwenijjqpc;POST_PUNK;;33;16;2010-02-27;Wvgpsamqeicgiogwxiqyiklewltyiazggonntwgngvaejronbv;144.031446;80;Zztaimnlovvc;Hiftgwphvsmtpnvrkmq Hgxxvsdpmi;Bwfhy Dgunruzlw;68
Fvxbnzpjujydehb;PROGRESSIVE_ROCK;2;49;2;1968-03-15;Dburypaacoioyiymbzecpoguxqrbmglundnrr Rpmsilaguhst;118.106395;72;Jtfdozjupsyl;Snxixxpejl Yxdpvowgeehnhvtriai;Ybdkzzdpiglmfec;150
Yieusyqbreouwzf;BRIT_POP;8;5;13;1978-11-18;Zinvto Uw Iiovwvjryvqgqlfaniwvroiy Tbjfmnjwjdnrtmv;165.530936;-86;Yxtipdndyvea;Yishauuzviiwecufatwvszkdqhfjsz;Netqlukkvpdyoun;73
Xnsqoscrwmjwauh;PROGRESSIVE_ROCK;6;40;9;1966-02-15;Hz Qp Nhveuykvskdnoceoebygbbxmxppxadehucacffdrtvhp;100.273135;-10;Kaxrtkmitru ;Iq Uwvxhehlbgfhyvyffcsucmqvxe ;Vhavjsoperppjgk;65
Qflbohoofcfcxdc;PROGRESSIVE_ROCK;6;45;9;2021-03-21;Ty Jwboyhzcgarxfmdvkbhpahxyllxvadutlarv Cvqydieygz;-177.888174;-48; Vxwxkywizbd;Xcdxnjxwdlldgmqadgvasbeatdzedt;Aqwkdrmahtvbp E;79
Tiayseumfxveavf;;8;21;3;1998-07-04; Outozsqvztcnktficogekimwueamghysufikzcswnowthluar;177.378299;48;Adugcwdfxapm;Dxsyzbyakrhcwpsqrjwbaavmsnuetc;Ocpuqopkqft Gau;73
Hmtjmton Ncehko;BRIT_POP;4;41;8;1967-06-18;Jwimkmmmcpeihipohwhqehnchlqheu Qmzbwknasorgnmhaglo;43.044025;86;Gmfayvwfkozu;Kofe Fflbbnxmgwzhcbtlkpubqscjx;Wpdlidxvbzmzqhm;135
Lxxkalxihnonnlv;PROGRESSIVE_ROCK;8;29;16;2017-08-26;Twrosdd Dcadkgpmqivxotstysxmgnffquaupzpnxibncuuhwk;-61.586731;-81;;;Zojmykb Nvjtxkz;51
Xkghjtekqzsujaw;PROGRESSIVE_ROCK;7;24;14;1991-07-26;Qflfcteedtonuuatyjkcumarutkhgztblyvxgzsftircvabhxd;121.413400;-73;Kpembcuoeerm;Usrimpbfwlvbkdkyxbwmotyjyk Eeq;Qjxphufvfkrmyuu;179
Erpkgaksjadznec;BRIT_POP;1;12;8;1984-12-19;Qswpgnpayqgztgdjxetlcycfghfaiyvcomplwdbzqlzpzckdzq;-160.380266;47;Itphygttjgwa;Nymsvesztpodwtsryknbgltofcstwb;Wluozovhtouigec;84
Tdmgkjwckvmrlbf;POST_PUNK;2;20;14;2003-02-18;Bndsgrshlzqubqxvjhlbaigzzbryxhceqgrewtvecwkvwjosvq;-83.195744;43;Bvghppzovcxk;Hgug Juyihfywvavfnqqdkqnhc Vv ;;
Bujaria Cqmbnu ;POST_PUNK;4;11;13;1975-02-20;Prp Wadkrwpghnfcrajwsvzxylksojiyqvombdtqrqnpbbsfrz;-9.874375;51;Wzdikhjqasvs;Fzqpqzpav Inkvzqhvsvasnedxvlzp;Ggrhbxbhhunqico;82
Winsquwusgtivml;PROGRESSIVE_ROCK;6;34;16;1978-12-25;Sncmwbeftlecdapjwvvqwaodzzyiuwbjicfmbxcddpkewnnuho;86.438576;44;Sujhfsjwzwds;Aghfnmpppijjihfqizqjjcbjikbhs ;Drupppflktixrko;103
Nuiriovfbgxrnot;POST_PUNK;;48;14;1969-03-19;Nnxudiazltfhvxvydupltrmcolxxdbvrqbnpqajaiaglzcblps;-89.493986;-7;;;Fvzimjtwbvmglii;65
Apgdlqtpl Tbwyo;BRIT_POP;3;21;3;2013-03-09;;39.889063;-45;Wbnswuruxpaq;Oucwupmgpkx Ktpldlmwhkars Idig;Vpaewiexclfrbsn;34
Hvqamlcuhmbidih;PROGRESSIVE_ROCK;1;39;13;1978-02-13;Ypr Juephethijcewpdiktgdnefbdwcgnqvixgrmpjjhjnyk G;31.706135;-29;Rvfzpolje Kv;Bfuhdhsvuhvonmhgierdcvjvsrxmxv;;
Dbmjssg Gdyugxe;PROGRESSIVE_ROCK;2;20;3;1980-10-04;Joawjfcej Ozvnlnitudfekpjjcvvcmeqfvtunci Mlsksmpfk;175.759046;-31;;;Cxgqiyutgfnncgt;80
Yvmdahjjjsytgde;BRIT_POP;4;39;5;1976-10-27;Awwlnshkppshhbysuogsvjssubdxyjvcqsjurqqwpyoncayeay;-70.513529;-83;Qydybymkbiyc;Nwlcpntwjrbjyojncqnkyveqrxxxhs;;
Xjmcwnzlqzahxjb;BRIT_POP;6;25;16;1990-10-17;Eabemsbqmhvftkseuwjhghgplpthldbmlnxinvnpbfqmwzdpxe;-172.588603;28;Ihymzoqgwkry;Picqxocrrwgwzwlwiuwnrwhirg Ikj;Aezareedjgmopks;174
Deskehtsexcifzf;POST_PUNK;6;26;20;2001-12-26;Nesumrsbqtujzjmxqucgggkdbsihvrsx Oajescpoyojfpnxzf;-76.449959;-17;;;Exarvsbsmazms I;93
Ejqqoivccamvucq;PROGRESSIVE_ROCK;3;13;9;1963-07-26;Qsmrxemvlmkxzpbckmiejjinozynhtcimlxaqmqvwxcyywgvpi;-179.859347;53;Oxqlnbjgcgxi;Qffjgrfqjmobtkpoizpgil Mpwgohd;Jbisizuksmhuz  ;143
Btnvrrpadglckoe;BRIT_POP;;20;10;1980-03-26;Jrceijwszuvnknzesbcxihiykrznktxxuqvrxunqstwfsvsijx;-51.791383;-80;Qopghpwumuwh;Ydxdmdhngccgfpmemdxpvnaqpzpiud;Aqcnglrhtaxznvl;169
Mneclcrdtkvtzfe;BRIT_POP;2;31;5;1967-11-15;Khaebgmnpfhxutaduufvgnsgpwhsilevufxorjurmizhhxtvol;-165.860352;-15;Ktffrwmrvdwu;Apssvcqzjbnkmlwbtsamlsmxsieqoe;Kdlgliuafwnhrby;57
Ubtbfmeqbuzejpf;PROGRESSIVE_ROCK;2;32;14;2007-10-18;Fxwuuhfxduszrnb Dvejkkhcnbfihplxbqvliivqcauaaunvle;113.302164;62;Swhkgjptahpi;Apgfppecq Cfnswdmnlunnhpwazmgi;;
Bxshypogbdeqdey;;3;23;5;1994-04-13; Slsyxqyluzgplmfhxvvwtjmnlnwjswlslclkk  Ajhoxfrggk;150.211827;61;Aovlwuydbojk;Yrtycdpohudtol Nkaotlssbspailx;Zlh Fdffsfje Wx;52
Ffvmseyhk Vbcra;BRIT_POP;4;38;12;1985-10-02;Nyuvbywcszuhkxzcoazacqlnqalxctilljyi Ciawcgesiyoyt;-36.283564;59;Sysdaxaakyal;Ehtdjfjnbqpnfpjwaghmboqlxcwuch;Szbxxcltaeprnzu;42
Dwvdpvsvvrrpezo;;;39;4;2003-08-03;Qiiiofxztwvdawntlndikbducmyykaxexmnsriecypqsjsetob;50.848676;-5;Jbtlol Azeid;Rvbtiacxmqsuklopkcgluobggtrvan;Yvaqrtlsnfiu Hc;38
M Vcz Sjqfenoyi;POST_PUNK;5;7;11;2014-04-16;;109.081046;9;Thqdcmdwqozm;Czjkxikxzecfqfukcmfwmewup Jrfd;Btucnfhpuqeagkt;31
Zkfdojjpkotejhh;PROGRESSIVE_ROCK;7;11;18;1967-12-18;Bancbbmeeubzaifiougigteeykvhopoovmdp Azqqnueecgjaw;79.020983;-8;Qtjpjelsrzrc;Aapxjxhltpwaenmqngtezzzwpsmfvn;Lehjksxyhrlfzvq;153
Lskvaftwhetduga;BRIT_POP;7;46;14;2022-02-26;Htfevyzrrpialmopmtijnlcvglydtbjnidzyotzmyidupdfacs;50.226342;52;;;Wswbnifnafxcqac;149
Uknxsyeieomhlxc;POST_PUNK;5;27;17;1964-06-09;Jqjonwpzarsbqvgfxdunxtsmmesftzfsgkdqr Hfdjtqwzopge;-137.982300;-73;Tbslpbwmekyi;Zymeysimjejohdjdihoiofemtnog M;Gqznoyzpunjtjgz;41
Znnbplmypvwmnio;POST_PUNK;6;36;7;1979-07-10;Lmritntrrbiosfbhhjwp Qezwteleheursuarqogszlmnkwawo;-149.437403;70;Iiqdokvizjbr;Zgaivuemocmhtqlikttqc Taqmwozb;Exgjnthrsntowwe;148
Lihfwlxwlsf Ckx;BRIT_POP;4;24;11;1993-10-23;Rcvqxnafuivnumlagcahplvhpreakombjaxgrvutyeuwns Fvp;7.606785;66;Xfeqpbnczbjy;Slcdtcvknowab Mvwrffjmquehizhx;Paiaodqoqmeyicb;178
Mxxtxwhlknbblmk;BRIT_POP;7;10;17;1977-05-16;Fteti Agzgbfpoxgbbqbdcovwnlbwcpjzuolbgakfiwqbxlc E;-61.271939;73;Tdfxblqnpmbd;Tnvsbtoayymxepcpucorcgkrkzfnby;Qicbbszokvshsvc;76
Kmmlpkflfxtqwvs;PROGRESSIVE_ROCK;5;36;11;1966-02-28;Iigivldblx Dlpkclwtlosr Abbmsmppfknh Nnhekuemnmlmv;179.604857;36;Kvtccqjuazjg;Enofpkdeqndipktbscmdg I Qhvxwb;Hekmqfkpynzhssv;179
Jnxgssmdxnxuwem;BRIT_POP;5;11;12;2005-07-26;;-22.126332;35;Strewuluylas;Cijsrfpyasorxkqymhcbxiojnyhibp;Buhworjpeivcrnm;127
Oirwxqouckwrsxm;BRIT_POP;;48;16;2000-02-24;Kunhhthcbvipptazwd Avoozyyrsiinfjasxjlyfwqcpvsiwac;150.057534;-17;Rwjgnpffepbf;Skxvsbosgbecsnnqmmlozftaqbsdlu;Rpudsoijyxoaxnb;96
Vceyoqjfjtavprm;POST_PUNK;5;29;15;1960-07-26;Ynhanrhimvafl Evydgyzktqgoxrqydfbtt Jpyd Eulpqabqo;16.427715;61;Zzhxedqefvfi;Vukhefrjuzropqxffyjqpnsukuhbsu;;
Ftnlwqrauhhypqw;PROGRESSIVE_ROCK;;45;9;2005-02-02;Ozfswvmpdilgkzfwxjogdupiqfrsygbgoazfdxhjfsxsbqimrr;147.768131;-38;Fvtrudnjfrba;Bicfthvqorlyratqhxsafibrycmpwy;Nscnyfhcqeenktr;77
Inzvthhwolkbym ;BRIT_POP;5;20;15;2005-09-20;Umltibfmlgmwoqdamvsnudfpliophbrobfrxhzgydxamcwrkec;82.684406;-21;Kxgbbfacbysm;Xyazbgakfapzgdekoxuauuudhsmrrw;Tpyagnxswoousfj;110
Exiju Fvdyiskvm;PROGRESSIVE_ROCK;6;45;8;1967-10-08;Pknnxvojqgg Tochommnqzuofeeytgtyqgyvuf Tvoiqunsgle;-53.004395;26;Kmkpyqllaqbv;Qeiqnd Ihbwjzgjohpfqstrzexhbjs;Bbtisxpnlzgkjhj;50
D Seyczdqnuclij;PROGRESSIVE_ROCK;1;16;15;1996-07-23;Thgktzvcdcbttzpquip S Ghfsovshkkxoukxdghdaaasbvicn;84.236971;-27;;;Qqkkkgczwktsdtn;99
Oypcxkklzisut R;PROGRESSIVE_ROCK;8;5;18;1977-11-26;Oloveltomkybeneehecsafswqvxqwbogaemdpsfvnxhhcannes;-139.619785;-29;;;Psvywebbrdxcjyx;80
Yoiriwueimqncnf;POST_PUNK;1;13;9;1975-01-17;Cgaacqbtojwvrgilznxhiogpacxxnnfirjjnefwtb Mtqucpil;63.383840;36;Nz Muodggnau; Myoepevpybqidqdauaapvmqkgacms;Vcazuwnwalmsjai;69
Gtqdirgoyyfragw;POST_PUNK;7;3;17;1983-04-11;Yspuwwgxhkiysicpwvowfvmsgtyhfsldfahkoxbuhguqokuia ;118.353056;44;Adkiceqkzqgy;Spqzrxzwtmbqiniqhreuhmxndyezqi;Ufdtdtsbqqssqmq;64
Djqenbrvle Vpig;POST_PUNK;3;28;2;2014-04-23;Ignfuevzyquejewqv Yrxwygmluraddnikqskntxmrstnehyib;-13.387264;56;Fizuttiskong;Urnwaginv Ef Kzpecpqkysc Hecvd;Lqddykbhtrtycrj;114
Qhpirsigyvsisxa;PROGRESSIVE_ROCK;5;15;4;2002-12-08;Hfbpxjorpm Umzxendjcxflpobhlxdhumxmjheprvqsxxkxidc;178.878486;45;Uatuvnsvkmab;D Koxshvelaryhqdjdjllrtdfifpjp;;
Kxdjiwekquzlftb;BRIT_POP;4;27;13;1961-05-14;Cfevjzllxcuyivbpcxsrtyumwsncefxsgxdwpbhnqs Qidgewg;171.178741;-87;;;Dhfwmemdyagdpej;53
Bazbemmkmlucieb;PROGRESSIVE_ROCK;5;17;15;1981-07-10;Vvpolytvmoaaegdg Nzktijtdabypxnfzhvjqtdeozpxamwiao;77.189312;32;Fyrrvzgkqfod;Uxcpglcujexaqjquyczdrvabtwaghl;Abvwexcrecjromm;120
Csnlfatvelimbgg;PROGRESSIVE_ROCK;3;30;4;1989-06-05;Rbverxthwqcrhopplpozinslmmmkzbdebsjkwfmknjvczsdnww;-3.024819;-41;;;Vggilqglrzxxbqo;86
Rwuacfsffvwqjmb;BRIT_POP;8;43;10;2023-07-17;Thvpndjmincnidnfsmvqlfdiskleqtdvpfbszuh Ahxszfwjvi;25.069334;51;Uedp Osfwpge;Sskhj Ieebpcobosozfdmrjsbizenw;Fgmtjlvhvykqned;119
Fvckxeahuaiycqy;BRIT_POP;4;2;9;1992-03-25;Ltmpzibpoehfvwrkroujfwkbkgxrryvghxgekuhwibieihasxo;75.497785;31;Hbcgdhuqrhrn;Kbdrdxlweuawszpjtebksirruqnkkh;Ejurtwewmefdbxi;137
Rsiaxkbuetjefit;PROGRESSIVE_ROCK;2;36;14;1977-01-25;Gibqqgyzqjfggfiiohlxoetbbqvdighpfqgbwzggbprskhskq ;146.241277;50;Iecmxsdxatrl;Rxsswrliuvooolosafmkqqzyniahql;Otzmqpremddcbdc;112
Jwigygeawptqhjd;POST_PUNK;4;19;7;1984-06-25;Wugrgowglckvedxqfcphqijxsmvjhkmqhivhbzltydwdfrdiyo;-124.351369;11;Tuhcopskaftr;Inlufvflifyqeat Ndlkenjklwlnza;;
Fsprirvxpgwyqua;BRIT_POP;1;2;5;1979-06-04;Ezowijtnzxsrwr Yttyoxqtuqaunnbcctrepjyiqzr Lap Fdq;-22.206318;-39;Ljuxegvnezxu;Trmykaqctxqzwytoixdqtmvxrjdolj;Ruqnwiqdeaoqskb;150
Nywbkvksjslwsar;BRIT_POP;1;28;19;2007-05-08;Xykyvffhnhkvbzdaykixhwdsqduksrvbjfnwayhegzejaaalrd;116.486701;-9;;;Hihsb Neowidwrk;162
Msvmlfedfernypz;POST_PUNK;2;1;17;1982-06-10;Ldfutpkmvzfukncqnayfqkppvcdggsbjbyicxhqotoefktddti;-125.736575;-88;Kkiydljqemcz;Rgdcwjvuhppiagunszfv Ozzrbkhkw;Swgzkasjozgaqlv;167
Hmamutpaaqktala;;4;35;14;1965-04-12;Cahlkcrcziuxjqddpjltzvwlpujygpoqyymvxqjkwfmljsvfls;119.127330;75;Rujqzlogeula;Mfmoyvnntbfvdvyedquyakbudhdcqv;Athnmvjlqfznxhj;85
Edutevqs Sesvfz;BRIT_POP;7;7;8;2000-10-27;Nowwfpaxo Nzetapsogqfcemkkyvtvwyudezipawdjvnajuhnh;118.979950;-30;Hmwmomdzzess;Vqofhoplumhzdniiykmtz Fniirbeh;Kxyqljuaxbjixfx;74
 Hrydvrbcmxjoce;PROGRESSIVE_ROCK;6;46;10;1967-03-04;Pkpokkbyqbjjmihivvcfpltr Mkw Jtneisbcbjpewdrdmewrb;-153.120907;-37;Nawmydbvpcbk;Vbhdyrmzbjngbbqjkxfydlxtmcttln;Rtpoaqnwmbnwfjt;48
Woaemcefsbuxqcy;BRIT_POP;2;25;14;1967-01-08;Surszgjnnqnkyeulvewogrngtvuonlklplewjuinuffhjidmwf;-58.912354;13;Clccfylllxfj;Mbgvhbnan Sqpijunjpfqfaujqqqbm;Dhkitnjkgclcmdt;154
Hzvmhrcm Kuu Cf;BRIT_POP;4;44;19;2001-09-23;Ldksycoiotlfyjmqyjwv Mpzoslmacvcnct Lwpvxyoldhgzdc;138.461264;-29;Uobtaahwfnau;Qnqsmjmxgbotbovgfmxpfcyynxqeyv;Ckujgisqqyheqfv;129
Lnze Dzcsmrtohn;POST_PUNK;6;44;19;1996-11-07;Ddzyk Zcfvtuzuwfgem Zzpisiskvyntpzjqafcseuitmgepyk;-53.307937;38;Kbellam Yepn;Zgfarsbpnosalztvayronqoimfliwk;;
Msephoajvgdkbiu;PROGRESSIVE_ROCK;5;23;16;1993-08-16;Dacwpuvocyzxojnapxdtzbzsscstkfrvhnphdgupgbtaypfojz;-75.545220;-15;Hfdmvkicq Dq;Czkcxuqqbqoycyfhytqtvrxtpenquy;Gcdbwmssuvqbomh;40
 Swyuwdroqbpeni;PROGRESSIVE_ROCK;2;46;8;1984-08-08;Rgafbdu Uewocqbkbygzvzzgndjicyk Xkcwegkwsjrlxkuliv;-159.170155;12; Fbzhpnocqte;Chkhovszdfamxynlddazwhgovjbryq;Xbmoezwnigiccyf;180
Csrgglihqidtten;POST_PUNK;;9;8;1984-09-18;Ckykqrtskfpvwcrqnyzoklsladz Fojedcmcyosk Qgfpjmpxk;-159.204551;78;Ccetucdenjpm;Yzmxjfbkkrrtiuapatiheaignghd L;;
Krjzyntnlrectva;;2;40;20;2022-03-05;Kvcrazgrfczy  Nazgksowexijajjcifmtlitg Alyhxjcqien;-60.352351;-33;Hgcpwsvpyolh;Dywrvustp Kzhhsnmllncuyrhcxzid; Edtnljnr Djimc;56
Ingcnfwxcownkst;PROGRESSIVE_ROCK;3;48;18;1971-07-23;Iqbeodqopwigyptsemzngusllpoxlxasffhxhbfzbghlioktnp;2.709380;-13;Fxenbdlcahjk;Codlzdaeyndrljlujdsdmqygplucdk;Tpuuoojorqdmbuu;43
Ymoueabzfbxpnww;BRIT_POP;5;49;9;1985-06-23;Rwegkyxvecjiprmagyymnxyxittqylfnodgzhrpzqgzxmgzwew;46.491639;-49;;;Dimzuuaihhadxpn;150
B Skbnetnhmhxci;;6;14;1;1976-08-17;Kyywnnowpslrfqmavalnzmhmwgdqubprecyliuwnbgltabodre;-159.785152;-31;Ktdmqkqzqxwr;Orzgsssd Tcxxyhyybtbm  Zicu As;Wpflzktdqjtelr ;113
Qzgrjyaxcislslu;POST_PUNK;7;28;16;1989-04-27;Vuvnwdugikxwpmyoxeclqiuxbwngbszsoauieebubblbhxcisl;117.848715;7;Rxwqdkykfhef;Etwdksxfruohggtitlnqiskncspvfc;Gwlkxvwboesoyzg;59
Dizalwmirvensfn;PROGRESSIVE_ROCK;8;24;2;2019-10-26;Amwdqmzlkllmfajryxfeahshwjeisisfhfftkuxljilhhxih Y;-50.371637;-43;Xxtgpcwuxtzv;Hmruvrpxlmvjsddly Aaqlngiorlmd;;
Ublwovrisghpzmh;PROGRESSIVE_ROCK;7;25;7;1971-08-17;Mfpbkvhesocugspiccgnuuratlbvdbqjqbuxuaznosqorepqob;155.531364;-53;Ra Mw Rrwrpo;Fyvkxkvttryljimghwtcwzomrjwpua;Vxnlmlrlfkqmuid;159
Oscjcefjegxfptf;PROGRESSIVE_ROCK;4;44;15;2003-01-09;Ssbmbufnvqomccfazjvjzizxnjpcskorwywzriohwbqzbhiypu;-172.906672;-39;Hkdvljarbhic;Dsyjohmbflnzysgnpipzrxegsuaxtf;Iupqieksroeaano;30
Bwswtgrmfzfnbpf;POST_PUNK;1;20;20;1978-12-21;Buwlpjqtcrfnkyhajbjlczqkyjhlbsentbjyqdefbvoljawfpo;127.642280;-35;Khalpzgvkpat;Qnoee Srzlfymgxyvyemtjqdypq Mu;Jyofdtflnpszfyz;136
Wfopaxhiarkxcwk;PROGRESSIVE_ROCK;7;13;19;2000-12-13;Egsmjrwobwbukhxlfiseohgfqvcihpaugpdvawrpeehroqgqkv;29.563120;67;Aufqqnqylyvq;Xkpupsbucnwkwapeybzuhjkrvzfppa;Pmdkwuh Acjhfho;103
